"","LAT","LON"
"172",-73.948359,40.813986
"173",-73.946993,40.814125
"174",-73.944376,40.813122
"175",-73.94135,40.811835
"176",-73.938925,40.810795
"177",-73.946688,40.816089
"178",-73.944955,40.81393
"179",-73.947008,40.815693
"180",-73.943417,40.809559
"181",-73.938453,40.811575
"182",-73.936231,40.812002
"183",-73.937185,40.813502
"184",-73.936726,40.814205
"185",-73.946392,40.816677
"186",-73.938941,40.814952
"187",-73.940812,40.815803
"188",-73.936507,40.811236
"189",-73.941262,40.813713
"190",-73.944461,40.809357
"191",-73.940053,40.813646
"192",-73.939112,40.813434
"193",-73.942846,40.811138
"194",-73.944004,40.809672
"195",-73.942248,40.812491
"196",-73.941693,40.812944
"197",-73.939519,40.815705
"198",-73.953554,40.801951
"199",-73.954616,40.800652
"200",-73.952405,40.802298
"201",-73.952427,40.800546
"202",-73.952942,40.803511
"203",-73.950349,40.798102
"204",-73.954549,40.799928
"205",-73.950042,40.801053
"206",-73.948492,40.796528
"207",-73.947499,40.799151
"208",-73.946685,40.800592
"209",-73.945756,40.80135
"210",-73.945158,40.802684
"211",-73.949975,40.798806
"212",-73.943026,40.802617
"213",-73.943462,40.801832
"214",-73.943796,40.801112
"215",-73.946924,40.797335
"216",-73.944932,40.799721
"217",-73.946259,40.797893
"218",-73.947474,40.796554
"219",-73.981736,40.768296
"220",-73.975224,40.760167
"221",-73.973347,40.764811
"222",-73.981963,40.753821
"223",-74.008723,40.677193
"224",-74.008723,40.677193
"225",-74.008723,40.677193
"226",-73.982209,40.77344
"227",-73.98197,40.778453
"228",-73.97641,40.775594
"229",-73.979917,40.783934
"230",-73.981637,40.762862
"231",-74.002578,40.739777
"232",-73.972143,40.781433
"233",-73.976218,40.788644
"234",-73.968916,40.785868
"235",-73.964694,40.791644
"236",-73.972323,40.793919
"237",-73.976041,40.751431
"238",-73.976848,40.751776
"239",-73.986229,40.755983
"240",-73.987691,40.755477
"241",-73.986754,40.754672
"242",-73.987495,40.75529
"243",-73.979189,40.752769
"244",-73.942836,40.754203
"245",-73.953581,40.742626
"246",-73.948916,40.742216
"247",-73.946,40.747846
"248",-73.774084,40.73121
"249",-73.943832,40.746554
"250",-73.949724,40.744065
"251",-73.898453,40.749669
"252",-73.869229,40.733106
"253",-73.913333,40.756312
"254",-73.906006,40.752885
"255",-73.882017,40.742454
"256",-73.820574,40.709179
"257",-73.844521,40.721691
"258",-73.810708,40.70546
"259",-73.801109,40.702147
"260",-73.783817,40.712646
"261",-73.877223,40.737015
"262",-73.928781,40.752039
"263",-73.937243,40.748973
"264",-73.92074,40.756879
"265",-73.803326,40.707564
"266",-73.793604,40.71047
"267",-73.861604,40.729846
"268",-73.852719,40.726523
"269",-73.776718,40.730544
"270",-73.807969,40.700486
"271",-73.837324,40.718331
"272",-73.773857,40.730124
"273",-74.005064964,40.7425912548
"274",-73.773857,40.730124
"275",-73.775861,40.726811
"276",-73.773841,40.729869
"277",-73.777129,40.730423
"278",-73.982384,40.772005
"279",-74.012924,40.61299
"280",-73.884479,40.730822
"281",-73.8842,40.730489
"282",-73.883751,40.728838
"283",-73.988109,40.771442
"284",-73.988109,40.771442
"285",-73.988109,40.771442
"286",-73.988109,40.771442
"287",-73.988109,40.771442
"288",-73.831008,40.714441
"289",-73.891338,40.746644
"290",-73.968379,40.799446
"291",-73.988109,40.771442
"292",-74.139087,40.59205
"293",-74.138573,40.591904
"294",-74.138056,40.592023
"295",-73.947478,40.7906
"296",-74.139153,40.591847
"297",-74.13812,40.59203
"298",-73.981478,40.71996
"299",-73.981299,40.720102
"300",-73.987162,40.689319
"301",-73.987162,40.689319
"302",-73.987162,40.689319
"303",-73.981466,40.719789
"304",-73.981438,40.720005
"305",-73.939357,40.812681
"306",-73.939357,40.812681
"307",-73.939357,40.812681
"308",-73.939357,40.812681
"309",-73.939357,40.812681
"310",-73.939357,40.812681
"311",-73.939357,40.812681
"312",-73.939357,40.812681
"313",-73.870981,40.733142
"314",-73.871128,40.733186
"315",-73.961265,40.742094
"316",-73.961256,40.741994
"317",-73.941333,40.846889
"318",-73.941722,40.846472
"319",-73.981929,40.768247
"320",-73.961454,40.796092
"321",-73.941347,40.8462
"322",-73.939981,40.846444
"323",-73.940883,40.846686
"324",-73.9354,40.7931
"325",-73.9252,40.777
"326",-73.8466,40.7221
"327",-74.1063,40.6173
"328",-73.94086,40.846562
"329",-73.940706,40.846383
"330",-73.942178,40.824778
"331",-73.942464,40.824131
"332",-73.942464,40.824131
"333",-73.942464,40.824131
"334",-73.942464,40.824131
"335",-74.0667,40.589
"336",-74.0028,40.7148
"337",-73.9817,40.7265
"338",-73.8443,40.7432
"339",-73.94425,40.79502
"340",-73.949625,40.802098
"341",-73.941617,40.798629
"342",-73.954882,40.805085
"343",-73.96411,40.807722
"344",-73.945502,40.807745
"345",-73.937594,40.804138
"346",-73.952343,40.811109
"347",-73.94077,40.814229
"348",-73.947649,40.817894
"349",-73.953676,40.822008
"350",-73.95036,40.826551
"351",-73.936245,40.820421
"352",-73.944216,40.824783
"353",-73.938209,40.830135
"354",-73.941514,40.830518
"355",-73.94489,40.834041
"356",-74.011029,40.710688
"357",-73.939892,40.836013
"358",-73.939704,40.847391
"359",-73.937969,40.851695
"360",-73.93418,40.859022
"361",-73.929412,40.855225
"362",-73.96387,40.768141
"363",-73.959874,40.77362
"364",-73.95107,40.785672
"365",-73.91924,40.807566
"366",-73.966847,40.803967
"367",-73.958159,40.800605
"368",-73.951822,40.799075
"369",-73.914042,40.805368
"370",-73.988114,40.718611
"371",-73.987437,40.718315
"372",-73.927271,40.865491
"373",-73.907657,40.808719
"374",-73.904098,40.812118
"375",-73.990173,40.713715
"376",-73.83003,40.7596
"377",-74.007582,40.710374
"378",-74.006571,40.709416
"379",-74.009509,40.710368
"380",-73.999153,40.71417
"381",-74.007691,40.710197
"382",-73.93647,40.82388
"383",-73.919899,40.868072
"384",-73.816859,40.702566
"385",-73.896435,40.816104
"386",-73.989938,40.723402
"387",-73.878855,40.874811
"388",-73.887138,40.873244
"389",-73.893509,40.866978
"390",-73.942464,40.824131
"391",-73.942464,40.824131
"392",-73.88536,40.718812
"393",-73.877806,40.720231
"394",-73.877337,40.720598
"395",-73.877935,40.721026
"396",-73.885335,40.71921
"397",-73.987162,40.689319
"398",-73.983849,40.694693
"399",-73.983849,40.694693
"400",-73.983328,40.693721
"401",-73.983328,40.693721
"402",-73.985788,40.69335
"403",-73.985788,40.69335
"404",-73.985788,40.69335
"405",-73.978541,40.686371
"406",-73.978541,40.686371
"407",-73.983025,40.692723
"408",-73.983025,40.692723
"409",-73.983931,40.690406
"410",-73.983931,40.690406
"411",-73.982587,40.692087
"412",-73.982587,40.692087
"413",-73.982488,40.69189
"414",-73.982488,40.69189
"415",-73.988519,40.693625
"416",-73.988347,40.693636
"417",-73.988347,40.693636
"418",-73.988347,40.693636
"419",-73.988347,40.693636
"420",-73.988347,40.693636
"421",-73.988347,40.693636
"422",-73.988347,40.693636
"423",-73.986706,40.69401
"424",-73.986706,40.69401
"425",-73.986706,40.69401
"426",-73.986706,40.69401
"427",-73.986706,40.69401
"428",-73.982158,40.689942
"429",-73.982158,40.689942
"430",-73.988131,40.691738
"431",-73.988131,40.691738
"432",-73.987419,40.693348
"433",-73.987117,40.692417
"434",-73.987117,40.692417
"435",-73.987117,40.692417
"436",-73.988304,40.692178
"437",-73.988433,40.692023
"438",-73.988311,40.691976
"439",-73.988669,40.692174
"440",-73.988304,40.692178
"441",-73.984435,40.690364
"442",-73.984435,40.690364
"443",-73.981975,40.689334
"444",-73.981975,40.689334
"445",-73.98662,40.691224
"446",-73.98662,40.691224
"447",-73.983165,40.689633
"448",-73.983165,40.689633
"449",-73.983165,40.689633
"450",-73.983165,40.689633
"451",-73.983165,40.689633
"452",-73.986787,40.692144
"453",-73.986787,40.692144
"454",-73.981975,40.689334
"455",-73.981975,40.689334
"456",-73.974472,40.685308
"457",-73.974472,40.685308
"458",-73.982302,40.688825
"459",-73.982302,40.688825
"460",-73.990089,40.693069
"461",-73.990089,40.693069
"462",-73.990089,40.693069
"463",-73.990089,40.693069
"464",-73.986074,40.696652
"465",-73.986074,40.696652
"466",-73.986074,40.696652
"467",-73.884938,40.720508
"468",-73.882524,40.718224
"469",-73.877119,40.7197
"470",-73.852882,40.685616
"471",-73.853854,40.686245
"472",-73.853153,40.687073
"473",-73.854035,40.686889
"474",-73.865607,40.731675
"475",-73.865623,40.732253
"476",-73.865119,40.732686
"477",-73.865607,40.731675
"478",-73.865607,40.731675
"479",-73.949511,40.720079
"480",-73.949511,40.720079
"481",-73.944909,40.805013
"482",-73.944885,40.80501
"483",-73.944909,40.805013
